fecha,cnae_cod,cnae_nombre,afiliados_medios_reg_general,afiliados_medios_autonomos,afiliados_medios_total
2009-02-01,09,Actividades de apoyo a las industrias extractivas,1448.7,106.15,1554.8500000000001
2009-02-01,10,Industria de la alimentación,303282.25,38706.65,341988.9
2009-02-01,11,Fabricación de bebidas,50687.8,3428.8,54116.600000000006
2009-02-01,12,Industria del tabaco,3725.5,49,3774.5
2009-02-01,13,Industria textil,44632.85,5376.9,50009.75
2009-02-01,14,Confección de prendas de vestir,60035.1,14498.7,74533.8
2009-02-01,15,Industria del cuero y del calzado,33786.25,5361.9,39148.15
2009-02-01,16,"Industria de la madera y del corcho, excepto muebles",67993.45,21891.5,89884.95
2009-02-01,17,Industria del papel,46571.25,1747.6,48318.85
2009-02-01,18,Artes gráficas y reproducción de soportes grabados,78055.45,16051,94106.45
2009-02-01,19,Coquerías y refino de petróleo,9722.85,47.8,9770.65
2009-02-01,20,Industria química,88556.55,3503.25,92059.8
2009-02-01,21,Fabricación de productos farmacéuticos,42822.15,102,42924.15
2009-02-01,22,Fabricación de productos de caucho y plásticos,95989.9,5876.65,101866.54999999999
2009-02-01,23,Fabricación de otros productos minerales,145430.7,13125.2,158555.90000000002
2009-02-01,24,"Metalurgia; fabricación de productos de hierro, acero",99565.5,11623.3,111188.8
2009-02-01,25,"Fabricación de productos metálicos, excepto maquina.",258976.6,42472.1,301448.7
2009-02-01,26,"Fabricación de productos informáticos, electró. ópticos",26411.15,2339.5,28750.65
2009-02-01,27,Fabricación de material y equipo eléctrico,51107.35,6038.55,57145.9
2009-02-01,28,Fabricación de maquinaria y equipo n.c.o.p.,139964.9,17416.55,157381.44999999998
2009-02-01,29,"Fabricación de vehículos de motor, remolques",150879.45,2158.4,153037.85
2009-02-01,30,Fabricación de otro material de transporte,57916.4,2340.4,60256.8
2009-02-01,31,Fabricación de muebles,76449.45,21061.7,97511.15
2009-02-01,32,Otras industrias manufactureras,23495.6,6171.7,29667.3
2009-02-01,33,Reparación e instalación de maquinaria y equipo,62855.9,15836.2,78692.1
2009-02-01,35,"Suministro de energía eléctrica, gas, vapor  y aire c.",40497.85,1099.3,41597.15
2009-02-01,36,"Captación, depuración y distribución de agua",40230.85,514.65,40745.5
2009-02-01,37,Recogida y tratamiento de aguas residuales,4043.6,210.35,4253.95
2009-02-01,38,"Recogida, tratamiento y eliminación de residuos",87034.95,1663.35,88698.3
2009-02-01,39,Actividades de descontaminación y otros,949.45,116.85,1066.3
2009-02-01,41,Construcción de edificios,616569.85,154059.5,770629.35
2009-02-01,42,Ingeniería civil,96801.4,35539.1,132340.5
2009-02-01,43,Actividades de construcción especializada,664061.05,326056.8,990117.8500000001
2009-02-01,45,Venta y reparación de vehículos de motor,256498.6,83813.05,340311.65
2009-02-01,46,"Comercio al por mayor e intermediarios, excepto v. motor",786520.45,173790.5,960310.95
2009-02-01,47,"Comercio al por menor, excepto de vehículos motor",1298356.35,536776.65,1835133
2009-02-01,49,Transporte terrestre y por tubería,397302.4,207182.65,604485.05
2009-02-01,50,Transporte marítimo y por vías navegable,756.5,167.5,924
2009-02-01,51,Transporte aéreo,39822.65,137.9,39960.55
2009-02-01,52,Almacenamiento y actividades anexas al transporte,149386.15,5756.9,155143.05
2009-02-01,53,Actividades postales y de correos,61861.4,3790.45,65651.85
2009-02-01,55,Servicios de alojamiento,210009.65,16795.1,226804.75
2009-02-01,56,Servicios de comidas y bebidas,673899.65,300654.5,974554.15
2009-02-01,58,Edición,79093.9,10533.25,89627.15
